,compositions,cluster
0,WC-10vol%Co,%_doped
1,MgO,simple
2,Ti52.8C0.0N47.2,simple
3,50wt% CaO-B2O3-SiO2 glass-Al2O3,%_doped
4,Ca0.75Pr0.25F2.25,simple
5,Li6.1Ga0.3La3Zr2O12-10wt%Li2O–B2O3–SiO2,dash_glass
6,SiCf/SiC-3wt%Ti3SiC2,%_doped
7,Li6.75La3Zr1.75Ta0.25O12,simple
8,ThO2-0.25mol%CaO,dash_glass
9,Eu2(SO4)3,parenthetical
10,CuInSe2,simple
11,10SrO-8.5Al2O3-60B2O3-10BaCl2-10TeO2-1.5Er2O3,dash_glass
12,Ti48.7C0.0N51.3,simple
13,23.04at.%V:24.72at.%Ti:49.41at.%N,colon
14,K2YF5:10at.%Tb3+,colon
15,25.48at.%V:21.65at.%Ti:51.40at.%N,colon
16,10%Yb:LSB,%_doped
17,CdO:1mol.%AlO,colon
18,Polyethylene Oxide-LiClO4,organic
19,Co0.7Zn0.3Fe1.975Ho0.025O4,simple
20,PES,simple
21,CdO:2mol.%AlO,colon
22,Heraeus CT700,alloy_grade
23,03%Yb:Lu2O3,%_doped
24,Ti26.3C31.5N42.2,simple
25,8mol.%Y2O3:ZrO2,colon
26,LaOBr,simple
27,24.61at.%V:25.64at.%Ti:48.84at.%N,colon
28,15ZnF2–12Li2CO3–10BaO–8Al2O3–54.7Sm2O3–0.3B2O3,dash_glass
29,(NbTaZrW)C,parenthetical
30,Ti29Zr34Ni5.3Cu9Be22.7,simple
31,3F-PEEK20-PEP,organic
32,GdOBr,simple
33,Li1.4Cr0.4Ti1.6(PO4)3,parenthetical
34,WC-Co,misc
35,Polyethylene Oxide-LiClO4 + 6%RFS,%_doped
36,Yb:YAG,colon
37,GdOCl,simple
38,EUROFER : 1wt.% Y2O3,colon
39,ZrO2,simple
40,Li7La3Zr2O12,simple
41,Co0.7Zn0.3Fe1.925Ho0.075O4,simple
42,Nd:Y3Al5O12,colon
43,ThO2,simple
44,Li1.5Al0.5Ge1.5(PO4)3+0.05wt%B2O3,%_doped
45,ThO2-0.5mol%MgO,dash_glass
46,Propylene Carbonate,organic
47,Li1.3Cr0.3Ge1.7(PO4)3,parenthetical
48,YOF,simple
49,B4C4,simple
50,6mol.%Ti:8mol.%Y2O3:ZrO2,colon
51,15wt%MWNT-C,%_doped
52,Li1.5Al0.4Cr0.1Ge1.5(PO4)3,parenthetical
53,Zr-2.5wt.%Nb,misc
54,Eu2(SO4)3.8H2O,parenthetical
55,GdOI,simple
56,Mg2SiO4,simple
57,Polyethylene Oxide,organic
58,ThO2-0.25mol%MgO,dash_glass
59,Sr2NiWO6,simple
60,Nd(0.31at.%):Ca0.08Gd0.92VO4,colon
61,SS316 (AISI 316 LN ITER grade),parenthetical
62,In–Sb–Te,misc
63,TiB2–80vol%B4C,dash_glass
64,Li1.4Al0.3Cr0.1Ti1.6(PO4)3,parenthetical
65,Eu2O2SO4,simple
66,"[{Cu(2,2'-bpy)}2(terephthalate)Mo4O13]",parenthetical
67,Piezo Volture V21BL,misc
68,LiTaO3,simple
69,"(Am,Zr,Y)O2",parenthetical
70,Am2Zr2O7 + MgO,misc
71,Nd(1.48at.%):Ca0.08Gd0.92VO4,colon
72,Al-Li6.75La3Zr1.75Ta0.25O12,misc
73,Ti0.9:N1.1:Si0.14,colon
74,Ni0.05Mo3Sb5.4Te1.6:1wt.%MWCNT,colon
75,Ti17Zr46Ni5.3Cu9Be22.7,simple
76,YOBr,simple
77,Ni0.05Mo3Sb5.4Te1.6:3wt.%MWCNT,colon
78,GdOF,simple
79,B4C–7vol%TiB2,dash_glass
80,2mol.%Ti:8mol.%Y2O3:ZrO2,colon
81,Co0.7Zn0.3Fe2O4,simple
82,Ni0.05Mo3Sb5.4Te1.6,simple
83,ZnAl2O4,simple
84,SM513,simple
85,25wt%MWNT-C,%_doped
86,50wt.%(Sr0.94Ti0.9Nb0.1O3):50wt.%(8mol.%Y2O3:ZrO2),colon
87,BaF2,simple
88,NbPS,simple
89,10SrO-8.0Al2O3-60B2O3-10BaCl2-10TeO2-2.0Er2O3,dash_glass
90,20wt%MWNT-C,%_doped
91,CaCu3Ti4.1O12,simple
92,SiC,simple
93,ThO2-0.1mol%MgO,dash_glass
94,CdO:3mol.%AlO,colon
95,Ti24.1C55.2N20.7,simple
96,ZnSnSb2,simple
97,10vol.% ZrO2:Olive Oil,colon
98,Ti22.8C39.0N38.2,simple
99,Li1.5Al0.5Ge1.5(PO4)3,parenthetical
100,Au,simple
101,5vol.% ZrO2:Olive Oil,colon
102,SiCf/SiC-6wt%Ti3SiC2,%_doped
103,Ti11Zr52Ni5.3Cu9Be22.7,simple
104,LiNb0.19Ta0.81O3,simple
105,NULL,simple
106,17.01at.%V:27.25at.%Ti:53.33at.%N,colon
107,In2O3,simple
108,Ti14.1C73.3N12.6,simple
109,B2C,simple
110,[(CH3)4P]2CoCl4,parenthetical
111,CaCu2.95Zn0.05Ti4.1O12,simple
112,Polyethylene Oxide + 6%RFS,%_doped
113,(NbTaZrHf)C,parenthetical
114,LiNb0.08Ta0.92O3,simple
115,Li6.1Ga0.3La3Zr2O12,simple
116,30wt%MWNT-C,%_doped
117,B2C3,simple
118,10SrO-9.0Al2O3-60B2O3-10BaCl2-10TeO2-1.0Er2O3,dash_glass
119,YOI,simple
120,37.5wt.%High-Carbon Ferrochromium Slag:62.5wt.%Waste Glass,colon
121,Li6.15La3Zr1.75Ta0.25Al0.2O12,simple
122,2[Li1.8Al0.4Ti1.6Si0.4P2.6O12]AlPO4,complex_mol
123,Au3Pt3-H2S,misc
124,Sr2CoWO6,simple
125,20Li2O–20PbO–45B2O3–15P2O5,dash_glass
126,Cr3C2/C,slash
127,AryLite,organic
128,LuOCl,simple
129,Eurofer,misc
130,3F-PEEK50-PEP,organic
131,EUROFER : 1wt.% MgAl2O4,colon
132,Zr-1.1Sn-0.19Fe-0.1Cr-0.06Ni,dash_glass
133,C,simple
134,43.75wt.%High-Carbon Ferrochromium Slag:56.25wt.%Waste Glass,colon
135,3F-PEEK10-PEP,organic
136,20Li2O–20PbO–45B2O3–14.0P2O5: 1.0Cr2O3,dash_glass
137,22.47at.%V:23.33at.%Ti:51.25at.%N,colon
138,Ti23Zr40Ni5.3Cu9Be22.7,simple
139,3.96at.%V:35.93at.%Ti:55.91at.%N,colon
140,10SrO-9.5Al2O3-60B2O3-10BaCl2-10TeO2-0.5Er2O3,dash_glass
141,(NbTaZr)C,parenthetical
142,2MgO.2Al2O3.5SiO2,misc
143,15ZnF2–12Li2CO3–10BaO–8Al2O3–54.5Sm2O3–0.5B2O3,dash_glass
144,"(Pu,Am)O2 + Mo",parenthetical
145,60wt.%High-Carbon Ferrochromium Slag:40wt.%Waste Glass,colon
146,3F-PEEK15-PEP,organic
147,F82H,simple
148,Ni,simple
149,SiCf/SiC-15wt%Ti3SiC2,%_doped
150,BaThO3,simple
151,Li6.24Al0.24La3Zr2O11.98,simple
152,Cu,simple
153,20Li2O–20PbO–45B2O3–14.7P2O5: 0.3Cr2O3,dash_glass
154,Ba0.67Sr0.33TiO3:0.5mol.%Mn:1.0mol.%Y,colon
155,10vol.% Al2O3:Glycerol,colon
156,LiNbO3,simple
157,56.25wt.%High-Carbon Ferrochromium Slag:43.75wt.%Waste Glass,colon
158,SiO,simple
159,100partLi1.5Cr0.5Ti1.5(PO4)3+5partSiO2,parenthetical
160,80 Sb2O3 – 10 SrCl2 – 10 CdCl2,misc
161,50wt.%High-Carbon Ferrochromium Slag:50wt.%Waste Glass,colon
162,Li6.1Ga0.3La3Zr2O12-1wt%Li2O–B2O3–SiO2,dash_glass
163,Ca2Fe2O5,simple
164,[Pb0.9Ca0.1]TiO3,complex_mol
165,19.93at.%V:25.23at.%Ti:53.07at.%N,colon
166,Ti10.3C68.4N21.2,simple
167,Glycerol,organic
168,(NbTaZrHfW)C,parenthetical
169,Piezo System 5A4E,misc
170,10mol.%Ti:8mol.%Y2O3:ZrO2,colon
171,EUROFER,simple
172,Sb2Se3,simple
173,PuOH,simple
174,1.0mol.%Y2O3:6.0mol.%CeO2:93.0mol.%ZrO2,colon
175,UCl3,simple
176,PET,simple
177,LuOI,simple
178,Li6.1Ga0.3La3Zr2O12-3wt%Li2O–B2O3–SiO2,dash_glass
179,Li1.4Al0.4Ti1.6(PO4)3,parenthetical
180,4mol.%Ti:8mol.%Y2O3:ZrO2,colon
181,PbS,simple
182,MoO3,simple
183,Co0.7Zn0.3Fe1.9Ho0.1O4,simple
184,Ni0.05Mo3Sb5.4Te1.6:2wt.%MWCNT,colon
185,LaOI,simple
186,62.5wt.%High-Carbon Ferrochromium Slag:37.5wt.%Waste Glass,colon
187,LaOF,simple
188,BaZnRu5O11,simple
189,Ba0.75Pr0.25F2.25,simple
190,Co,simple
191,50TeO2–42.5V2O5–7.5K2O,dash_glass
192,Ferro A6M,alloy_grade
193,8mol.%Ti:8mol.%Y2O3:ZrO2,colon
194,ZnAl2S4,simple
195,19%Yb:Lu2O3,%_doped
196,KBaMnO4,simple
197,ThNb2H12,simple
198,Li6.1Ga0.3La3Zr2O12-5wt%Li2O–B2O3–SiO2,dash_glass
199,PdVGa,simple
200,3Al2O3.2SiO2,misc
201,β-Sn,misc
202,KBaAsO4,simple
203,Sb2O4,simple
204,LaOCl,simple
205,Se,simple
206,Ti49.3C4.0N46.7,simple
207,21.39at.%V:26.73at.%Ti:49.51at.%N,colon
208,ZnO,simple
209,15ZnF2–12Li2CO3–10BaO–8Al2O3–53.9Sm2O3–1.1B2O3,dash_glass
210,DuPond 951,alloy_grade
211,C28H20Cu2Mo4N4O17,simple
212,50TeO2–35V2O5–15K2O,dash_glass
213,Fe,simple
214,Olive oil,organic
215,15ZnF2–12Li2CO3–10BaO–8Al2O3–54.3Sm2O3–0.7B2O3,dash_glass
216,LiNb0.03Ta0.97O3,simple
217,20vol.% ZrO2:Olive Oil,colon
218,10SrO-7.5Al2O3-60B2O3-10BaCl2-10TeO2-2.5Er2O3,dash_glass
219,Si5AlON7,simple
220,GdVO4,simple
221,"(Am,Pu,Zr,Y)O2",parenthetical
222,08%Yb:LSB,%_doped
223,ThO2-0.1mol%CaO,dash_glass
224,"(Am,Zr,Y)O2 + Mo",parenthetical
225,Li5.5La3Zr0.5Ta1.5O12,simple
226,HfO2,simple
227,B3C,simple
228,Ba12SbNb9O36,simple
229,Ti32.7C38.7N28.6,simple
230,SiCf/SiC-9wt%Ti3SiC2,%_doped
231,25.48at.%V:24.15at.%Ti:49.35at.%N,colon
232,Li6.25La3Zr1.25Ta0.75O12,simple
233,25%Yb:Lu2O3,%_doped
234,20vol.% Al2O3:Glycerol,colon
235,MgSiO3,simple
236,Ar,simple
237,SiCf/SiC,slash
238,SiO2,simple
239,YAlO3,simple
240,50TeO2–50V2O5,dash_glass
241,Li6.5La3Zr1.5Ta0.5O12,simple
242,AlN:Er3+,colon
243,Y2O3,simple
244,ZnSnAs2,simple
245,20Li2O–20PbO–45B2O3–14.9P2O5: 0.1Cr2O3,dash_glass
246,20Li2O–20PbO–45B2O3–14.5P2O5: 0.5Cr2O3,dash_glass
247,Ga2O3,simple
248,CaF2,simple
249,LuOBr,simple
250,La2O3,simple
251,YOCl,simple
252,BC,simple
253,Co0.7Zn0.3Fe1.95Ho0.05O4,simple
254,ZnSnP2,simple
255,Kepo PZT 5H,misc
256,15ZnF2–12Li2CO3–10BaO–8Al2O3–54.9Sm2O3–0.1B2O3,dash_glass
257,Al2O3,simple
258,LiTi2(PO4)3+5mol%SiO2,%_doped
259,SiCf/SiC-12wt%Ti3SiC2,%_doped
260,Li1.4Cr0.4Ge1.6(PO4)3,parenthetical
261,SnO2,simple
262,TiB2–20vol%B4C,dash_glass
263,20Li2O–20PbO–45B2O3–14.2P2O5: 0.8Cr2O3,dash_glass
264,5vol.% Al2O3:Glycerol,colon
265,CdO,simple
266,ThO2-0.5mol%CaO,dash_glass
267,Ti19.6C49.6N30.8,simple
268,In2O3:Sn,colon
269,50TeO2–47.5V2O5–2.5K2O,dash_glass
270,10SrO-9.9Al2O3-60B2O3-10BaCl2-10TeO2-0.1Er2O3,dash_glass
271,Pb,simple
272,Li7-xLa3Zr1.5Ta0.5O12-d,variable_x
273,CaCu2.90Zn0.10Ti4.1O12,simple
274,W,simple
275,TiB2,simple
